"anweight","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdgr","rlgatnd","pray","dscrgrp","ctzcntr","brncntr","livecnta","feethngr","facntr","mocntr","ccrdprs","wrclmch","ctrlife","etfruit","eatveg","dosprt","cgtsmok","alcfreq","alcwkdy","alcwknd","alcbnge","height","weighta","medtrun","stflife","gndr","agea","rshpsts","ipstrgva","vacc19"
0.41763088,90,"5 - Every day",180,8,7,6,"2 - Quite interested","2 - Very little","3 - Quite able","3 - Some","3 - Quite confident",7,8,8,7,6,5,5,"Yes",8,"6 - Several times a week","4-6","3 - About the same","No","2 - Safe","3 - Fair","3 - No",6,6,"No",4,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",7,"3 - Somewhat worried",8,"3 - Once a day","2 - Twice a day",5,"4 - I don’t smoke now but I used to","6 - Less than once a month",0,21.1,"5 - Never",163,66,"No",9,"Female",79,NA,"5 - Not like me","Yes"
0.4414208,10,"5 - Every day",180,8,8,6,"3 - Hardly interested","3 - Some","2 - A little able","3 - Some","2 - A little confident",7,5,6,7,7,7,7,"Yes",7,"6 - Several times a week","4-6","3 - About the same","Yes","2 - Safe","1 - Very good","3 - No",5,3,"No",1,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",6,"3 - Somewhat worried",7,"3 - Once a day","2 - Twice a day",4,"6 - I have never smoked","3 - Once a week",20,80,"2 - Weekly",158,68,"No",7,"Female",24,NA,"2 - Like me","Yes"
0.54048234,10,"5 - Every day",420,5,5,4,"3 - Hardly interested","2 - Very little","1 - Not at all able","1 - Not at all","1 - Not at all confident",2,6,6,3,3,4,8,"Yes",8,"6 - Several times a week","4-6","2 - Less than most","No","3 - Unsafe","3 - Fair","2 - Yes to some extent",5,5,"No",2,"7 - Never","6 - Less often","No","Yes","Yes",NA,"Yes","Yes","Yes",5,"3 - Somewhat worried",9,"5 - Less than 4 times a week but at least once a week","4 - Less than once a day but at least 4 times a week",1,"4 - I don’t smoke now but I used to","5 - Once a month",0,26.4,"5 - Never",186,110,"No",9,"Female",37,"Legally married","4 - A little like me","Yes"
0.5397362,45,"5 - Every day",480,8,8,6,"1 - Very interested","4 - A lot","4 - Very able","4 - A lot","3 - Quite confident",7,7,7,7,6,6,8,"Yes",8,"6 - Several times a week","4-6","4 - More than most","No","1 - Very safe","2 - Good","3 - No",8,6,"No",4,"7 - Never","7 - Never","Yes","Yes","Yes",NA,"Yes","Yes","Yes",9,"5 - Extremely worried",4,"2 - Twice a day","2 - Twice a day",5,"3 - I smoke but not every day","2 - Several times a week",19.6,39.6,"2 - Weekly",153,84,"No",8,"Female",39,"Legally married","3 - Somewhat like me","Yes"
0.7356978,100,"5 - Every day",150,8,8,6,"1 - Very interested","1 - Not at all","3 - Quite able","3 - Some","2 - A little confident",8,8,8,7,6,6,3,"Yes",10,"4 - Several times a month","4-6","3 - About the same","No","1 - Very safe","2 - Good","3 - No",10,10,"Yes",6,"7 - Never","6 - Less often","No","Yes","Yes",NA,"Yes","Yes","Yes",10,"3 - Somewhat worried",7,"3 - Once a day","3 - Once a day",0,"5 - I have only smoked a few times","2 - Several times a week",13.2,23.2,"4 - Less than monthly",178,120,"No",9,"Male",63,"Legally married","1 - Very much like me","Yes"
0.5830988,0,"5 - Every day",240,0,5,0,"4 - Not at all interested","1 - Not at all","5 - Completely able","1 - Not at all","1 - Not at all confident",5,3,3,0,0,5,5,"Yes",5,"4 - Several times a month","4-6","2 - Less than most","No","2 - Safe","2 - Good","3 - No",5,5,"No",0,"7 - Never","7 - Never","No","Yes","No",1985,"Yes","Yes","No",10,"3 - Somewhat worried",6,"2 - Twice a day","3 - Once a day",3,"6 - I have never smoked","7 - Never",NA,NA,"6 - Not applicable",160,83,"No",5,"Female",47,NA,"1 - Very much like me","Yes"
0.49186397,75,"1 - Never",NA,5,8,7,"2 - Quite interested","3 - Some","1 - Not at all able","2 - Very little","1 - Not at all confident",6,6,8,4,3,5,7,"Yes",9,"6 - Several times a week","7-9","2 - Less than most","No","4 - Very unsafe","3 - Fair","2 - Yes to some extent",6,6,"Yes",6,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",5,"3 - Somewhat worried",7,"1 - Three times or more a day","2 - Twice a day",0,"6 - I have never smoked","6 - Less than once a month",0,72,"5 - Never",147,53,"No",9,"Female",64,"Legally married","3 - Somewhat like me","Yes"
0.45706835,60,"5 - Every day",120,7,9,6,"4 - Not at all interested","3 - Some","2 - A little able","3 - Some","3 - Quite confident",6,8,8,8,6,5,5,"Yes",8,"6 - Several times a week","1","3 - About the same","No","2 - Safe","2 - Good","3 - No",4,3,"Yes",8,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",4,"3 - Somewhat worried",8,"3 - Once a day","3 - Once a day",0,"6 - I have never smoked","6 - Less than once a month",13.2,13.2,"5 - Never",161,68,"No",8,"Female",79,NA,"2 - Like me","Yes"
0.5534507,30,"5 - Every day",360,7,3,1,"3 - Hardly interested","1 - Not at all","2 - A little able","2 - Very little","3 - Quite confident",7,4,3,6,7,8,8,"Not eligible to vote",9,"7 - Every day","7-9","4 - More than most","No","2 - Safe","1 - Very good","3 - No",6,3,"Yes",6,"6 - Less often","3 - Once a week","No","Yes","Yes",NA,"Yes","Yes","Yes",7,"4 - Very worried",6,"3 - Once a day","2 - Twice a day",7,"5 - I have only smoked a few times","3 - Once a week",0,120,"2 - Weekly",180,70,"No",9,"Male",16,NA,"4 - A little like me","Yes"
0.5103013,90,"5 - Every day",360,0,0,4,"3 - Hardly interested","1 - Not at all","4 - Very able","1 - Not at all","4 - Very confident",0,2,7,0,0,0,0,"No",6,"4 - Several times a month","1","1 - Much less than most","No","2 - Safe","3 - Fair","1 - Yes a lot",0,0,"No",7,"7 - Never","6 - Less often",NA,"Yes","Yes",NA,"Yes","Yes","Yes",5,"4 - Very worried",10,"3 - Once a day","7 - Never",0,"1 - I smoke daily, 10 or more cigarettes","6 - Less than once a month",0,188,"4 - Less than monthly",170,70,"No",6,"Male",45,NA,"2 - Like me","Yes"
0.6483265,30,"5 - Every day",90,6,6,7,"2 - Quite interested","2 - Very little","1 - Not at all able","1 - Not at all","2 - A little confident",5,3,5,3,3,3,4,"Yes",8,"2 - Less than once a month","4-6","3 - About the same","No","3 - Unsafe","3 - Fair","2 - Yes to some extent",6,6,"No",6,"7 - Never","7 - Never","No","Yes","Yes",NA,"No","Yes","Yes",5,"3 - Somewhat worried",7,"3 - Once a day","3 - Once a day",7,"6 - I have never smoked","1 - Every day",111.6,111.6,"2 - Weekly",181,84,"No",8,"Male",64,"Legally married","3 - Somewhat like me","Yes"
0.6375966,30,"5 - Every day",600,6,6,5,"2 - Quite interested","3 - Some","3 - Quite able","2 - Very little","3 - Quite confident",5,6,7,4,5,5,5,"Yes",8,"7 - Every day","4-6","3 - About the same","No","1 - Very safe","2 - Good","3 - No",6,5,"No",0,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",7,"3 - Somewhat worried",8,"5 - Less than 4 times a week but at least once a week","3 - Once a day",7,"4 - I don’t smoke now but I used to","3 - Once a week",13.2,85.2,"3 - Monthly",160,83,"No",8,"Female",33,"Living with my partner - legally recognised","3 - Somewhat like me","Yes"
0.4948624,30,"5 - Every day",60,6,6,5,"2 - Quite interested","2 - Very little","2 - A little able","2 - Very little","2 - A little confident",4,5,6,4,4,3,4,"Yes",6,"6 - Several times a week","2","2 - Less than most","No","3 - Unsafe","3 - Fair","3 - No",7,5,"No",3,"7 - Never","7 - Never","Yes","Yes","Yes",NA,"Yes","Yes","Yes",5,"4 - Very worried",6,"3 - Once a day","3 - Once a day",3,"4 - I don’t smoke now but I used to","5 - Once a month",0,26.4,"4 - Less than monthly",157,57,"No",4,"Female",57,"Legally married","2 - Like me","Yes"
0.7598697,45,"5 - Every day",180,4,5,5,"3 - Hardly interested","2 - Very little","2 - A little able","2 - Very little","2 - A little confident",4,3,7,2,3,6,7,"Yes",5,"6 - Several times a week","3","3 - About the same","No","3 - Unsafe","3 - Fair","3 - No",3,3,"No",3,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",4,"3 - Somewhat worried",5,"3 - Once a day","3 - Once a day",2,"4 - I don’t smoke now but I used to","3 - Once a week",0,13.2,"4 - Less than monthly",186,NA,"No",6,"Female",31,"Legally married","3 - Somewhat like me","Yes"
0.6375966,30,"5 - Every day",120,5,5,3,"3 - Hardly interested","3 - Some","1 - Not at all able","2 - Very little","2 - A little confident",3,4,5,2,2,3,5,"No",8,"5 - Once a week","4-6","3 - About the same","Yes","3 - Unsafe","2 - Good","3 - No",9,8,"No",4,"5 - Only on special holy days","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",6,"3 - Somewhat worried",8,"3 - Once a day","3 - Once a day",7,"6 - I have never smoked","4 - 2-3 times a month",40,46.2,"5 - Never",162,65,"No",8,"Female",22,NA,"3 - Somewhat like me","Yes"
0.45706835,150,"5 - Every day",90,7,7,7,"1 - Very interested","2 - Very little","3 - Quite able","3 - Some","2 - A little confident",4,5,7,5,4,5,6,"Yes",7,"6 - Several times a week","4-6","3 - About the same","No","2 - Safe","2 - Good","3 - No",5,3,"Yes",5,"6 - Less often","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",5,"3 - Somewhat worried",8,"3 - Once a day","4 - Less than once a day but at least 4 times a week",5,"6 - I have never smoked","4 - 2-3 times a month",26.4,26.4,"4 - Less than monthly",165,63,"No",7,"Female",59,"Legally married","4 - A little like me","Yes"
1.3137625,20,"4 - Most days",300,4,7,6,"3 - Hardly interested","3 - Some","1 - Not at all able","3 - Some","1 - Not at all confident",0,5,5,5,5,5,5,"No",10,"6 - Several times a week","3","4 - More than most","Yes","2 - Safe","2 - Good","3 - No",8,2,"Yes",8,"5 - Only on special holy days","1 - Every day","No","Yes","Yes",NA,"Yes","No","No",7,"4 - Very worried",7,"5 - Less than 4 times a week but at least once a week","1 - Three times or more a day",1,"6 - I have never smoked","7 - Never",NA,NA,"6 - Not applicable",173,60,"No",8,"Female",30,NA,"3 - Somewhat like me","No"
0.6176267,120,"5 - Every day",480,3,2,4,"4 - Not at all interested","4 - A lot","3 - Quite able","3 - Some","4 - Very confident",5,3,5,5,5,5,5,"Not eligible to vote",10,"4 - Several times a month","4-6","4 - More than most","Yes","2 - Safe","3 - Fair","3 - No",4,4,"Yes",10,"6 - Less often","6 - Less often","Yes","Yes","Yes",NA,"Yes","Yes","No",5,"4 - Very worried",8,"4 - Less than once a day but at least 4 times a week","2 - Twice a day",4,"5 - I have only smoked a few times","7 - Never",NA,NA,"6 - Not applicable",167,78,"No",9,"Female",19,"Living with my partner - not legally recognised","4 - A little like me","Yes"
0.6437103,60,"5 - Every day",30,6,5,5,"3 - Hardly interested","2 - Very little","2 - A little able","2 - Very little","1 - Not at all confident",6,6,8,6,5,6,6,"Yes",7,"7 - Every day","7-9","4 - More than most","No","2 - Safe","3 - Fair","2 - Yes to some extent",8,7,"No",6,"6 - Less often","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",3,"3 - Somewhat worried",7,"3 - Once a day","3 - Once a day",1,"4 - I don’t smoke now but I used to","4 - 2-3 times a month",13.2,13.2,"5 - Never",160,58,"No",7,"Female",72,NA,"3 - Somewhat like me","Yes"
0.4711317,0,"5 - Every day",360,6,7,2,"4 - Not at all interested","3 - Some","3 - Quite able","1 - Not at all","3 - Quite confident",1,6,7,0,1,1,2,"No",9,"3 - Once a month","2","1 - Much less than most","No","2 - Safe","2 - Good","3 - No",7,8,"Yes",5,"6 - Less often","3 - Once a week","No","No","No",2015,"Yes","No","No",8,"4 - Very worried",7,"3 - Once a day","3 - Once a day",1,"6 - I have never smoked","4 - 2-3 times a month",0,13.2,"3 - Monthly",170,58,"No",7,"Female",33,"Legally married","2 - Like me","Yes"
0.68323356,15,"5 - Every day",180,5,6,3,"4 - Not at all interested","1 - Not at all","1 - Not at all able","1 - Not at all","1 - Not at all confident",0,4,5,3,0,0,0,"No",6,"3 - Once a month","2","2 - Less than most","No","3 - Unsafe","2 - Good","3 - No",4,2,"No",4,"6 - Less often","1 - Every day","No","Yes","Yes",NA,"Yes","Yes","Yes",7,"3 - Somewhat worried",5,"3 - Once a day","3 - Once a day",1,"5 - I have only smoked a few times","6 - Less than once a month",0,13.2,"5 - Never",168,67,"No",5,"Female",45,NA,"2 - Like me","Yes"
0.49873337,597,"1 - Never",NA,1,2,5,"3 - Hardly interested","1 - Not at all","1 - Not at all able","2 - Very little","1 - Not at all confident",5,5,3,3,3,3,3,"Yes",9,"7 - Every day","0 - None","2 - Less than most","No","4 - Very unsafe","4 - Bad","3 - No",5,5,"No",0,"7 - Never","7 - Never","Yes","Yes","Yes",NA,"Yes","Yes","Yes",6,"3 - Somewhat worried",8,"3 - Once a day","3 - Once a day",7,"1 - I smoke daily, 10 or more cigarettes","2 - Several times a week",26.4,26.4,"2 - Weekly",161,45,"No",10,"Female",64,"Legally married","1 - Very much like me","Yes"
0.59527254,1116,"5 - Every day",90,5,7,5,"3 - Hardly interested","1 - Not at all","5 - Completely able","1 - Not at all","5 - Completely confident",0,0,7,0,0,0,0,"Yes",8,"2 - Less than once a month","2","2 - Less than most","No","1 - Very safe","2 - Good","3 - No",9,5,"Yes",8,"7 - Never","4 - At least once a month","No","Yes","Yes",NA,"Yes","Yes","Yes",0,"2 - Not very worried",8,"4 - Less than once a day but at least 4 times a week","4 - Less than once a day but at least 4 times a week",7,"4 - I don’t smoke now but I used to","1 - Every day",19.6,725.4,"2 - Weekly",191,98,"No",8,"Male",34,NA,"1 - Very much like me","No"
0.43361726,15,"5 - Every day",360,6,5,4,"2 - Quite interested","1 - Not at all","2 - A little able","1 - Not at all","3 - Quite confident",1,3,7,0,4,2,6,"Yes",8,"6 - Several times a week","4-6","4 - More than most","No","2 - Safe","2 - Good","3 - No",2,0,"No",1,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",2,"2 - Not very worried",7,"7 - Never","5 - Less than 4 times a week but at least once a week",0,"5 - I have only smoked a few times","6 - Less than once a month",19.8,107.2,"4 - Less than monthly",173,92,"Yes",9,"Male",29,"Legally married","5 - Not like me","Yes"
0.32338783,60,"4 - Most days",30,8,8,8,"2 - Quite interested","2 - Very little","1 - Not at all able","1 - Not at all","1 - Not at all confident",2,8,9,2,4,3,3,"Yes",8,"1 - Never","1","1 - Much less than most","No","1 - Very safe","3 - Fair","2 - Yes to some extent",8,8,"Yes",7,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",4,"3 - Somewhat worried",5,"3 - Once a day","3 - Once a day",0,"6 - I have never smoked","7 - Never",NA,NA,"6 - Not applicable",172,71,"No",8,"Male",87,NA,"4 - A little like me","Yes"
1.1725645,180,"1 - Never",NA,5,3,3,"3 - Hardly interested","1 - Not at all","1 - Not at all able","1 - Not at all","1 - Not at all confident",3,5,6,2,2,2,3,"Yes",8,"4 - Several times a month","4-6","2 - Less than most","No","1 - Very safe","2 - Good","2 - Yes to some extent",8,5,"Yes",5,"6 - Less often","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",8,"3 - Somewhat worried",5,"7 - Never","3 - Once a day",7,"6 - I have never smoked","1 - Every day",39.4,89,"3 - Monthly",168,79,"No",8,"Male",70,"Legally married","2 - Like me","Yes"
1.1247364,60,"5 - Every day",600,8,8,7,"2 - Quite interested","3 - Some","2 - A little able","3 - Some","2 - A little confident",8,8,8,6,7,7,8,"Yes",5,"4 - Several times a month","2","2 - Less than most","No","1 - Very safe","1 - Very good","2 - Yes to some extent",6,6,"No",0,"7 - Never","7 - Never","Yes","Yes","Yes",NA,"Yes","Yes","Yes",7,"4 - Very worried",6,"2 - Twice a day","3 - Once a day",5,"4 - I don’t smoke now but I used to","3 - Once a week",26.4,26.4,"4 - Less than monthly",163,55,"No",5,"Female",31,NA,NA,"Yes"
0.43361726,0,"4 - Most days",270,4,6,7,"3 - Hardly interested","3 - Some","1 - Not at all able","4 - A lot","3 - Quite confident",10,7,8,7,6,9,10,"No",8,"6 - Several times a week","10 or more","3 - About the same","No","2 - Safe","1 - Very good","3 - No",7,8,"No",3,"6 - Less often","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",6,"2 - Not very worried",7,"5 - Less than 4 times a week but at least once a week","3 - Once a day",4,"6 - I have never smoked","3 - Once a week",39.2,20,"2 - Weekly",170,55,"No",8,"Male",18,NA,"5 - Not like me","Yes"
0.48930442,120,"5 - Every day",120,5,7,5,"2 - Quite interested","3 - Some","2 - A little able","3 - Some","3 - Quite confident",6,8,8,6,7,7,4,"Yes",9,"5 - Once a week","3","3 - About the same","No","3 - Unsafe","1 - Very good","3 - No",10,8,"Yes",7,"6 - Less often","2 - More than once a week","No","Yes","Yes",NA,"Yes","Yes","No",9,"4 - Very worried",7,"3 - Once a day","3 - Once a day",1,"4 - I don’t smoke now but I used to","2 - Several times a week",237.5,78.6,"5 - Never",169,92,"No",8,"Male",75,"Living with my partner - legally recognised","1 - Very much like me","Yes"
0.40693602,60,"4 - Most days",240,7,7,6,"2 - Quite interested","3 - Some","2 - A little able","3 - Some","2 - A little confident",7,8,8,7,7,7,NA,"Yes",8,"6 - Several times a week","7-9","3 - About the same","No","1 - Very safe","1 - Very good","3 - No",4,4,"No",2,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",8,"4 - Very worried",8,"3 - Once a day","3 - Once a day",0,"6 - I have never smoked","7 - Never",NA,NA,"6 - Not applicable",173,70,"No",9,"Female",32,"Legally married","2 - Like me","Yes"
0.79906136,90,"5 - Every day",42,3,3,2,"2 - Quite interested","2 - Very little","1 - Not at all able","2 - Very little","2 - A little confident",2,0,8,2,2,2,2,"Yes",7,"6 - Several times a week","2","4 - More than most","No","2 - Safe","3 - Fair","2 - Yes to some extent",5,5,"No",2,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",4,"3 - Somewhat worried",5,"5 - Less than 4 times a week but at least once a week","2 - Twice a day",4,"1 - I smoke daily, 10 or more cigarettes","4 - 2-3 times a month",0,13.2,"5 - Never",157,79,"No",7,"Female",66,"Legally married","2 - Like me","No"
0.68323356,30,"5 - Every day",180,6,6,4,"4 - Not at all interested","1 - Not at all","1 - Not at all able","1 - Not at all","1 - Not at all confident",3,4,6,5,3,4,5,"Yes",8,"6 - Several times a week","3","2 - Less than most","Yes","3 - Unsafe","3 - Fair","2 - Yes to some extent",0,0,"No",0,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",7,"3 - Somewhat worried",7,"7 - Never","3 - Once a day",0,"2 - I smoke daily, 9 or fewer cigarettes","7 - Never",NA,NA,"6 - Not applicable",164,85,"No",8,"Female",45,"Living with my partner - not legally recognised","4 - A little like me","No"
0.4004806,60,"4 - Most days",300,7,5,3,"2 - Quite interested","3 - Some","4 - Very able","4 - A lot","2 - A little confident",7,NA,8,7,7,8,7,"Yes",8,"6 - Several times a week","3","3 - About the same","Yes","2 - Safe","1 - Very good","3 - No",8,7,"Yes",7,"5 - Only on special holy days","6 - Less often","No","Yes","Yes",NA,"No","No","No",9,"5 - Extremely worried",8,"3 - Once a day","4 - Less than once a day but at least 4 times a week",0,"5 - I have only smoked a few times","7 - Never",NA,NA,"6 - Not applicable",165,74,"Yes",8,"Male",26,NA,"2 - Like me","Yes"
0.52851236,30,"5 - Every day",480,5,7,4,"2 - Quite interested","3 - Some","1 - Not at all able","2 - Very little","1 - Not at all confident",3,3,5,3,3,3,3,"Not eligible to vote",8,"6 - Several times a week","2","2 - Less than most","No","2 - Safe","2 - Good","3 - No",1,1,"No",0,"7 - Never","7 - Never","No","Yes","Yes",NA,"Yes","Yes","Yes",3,"2 - Not very worried",8,"5 - Less than 4 times a week but at least once a week","3 - Once a day",0,"2 - I smoke daily, 9 or fewer cigarettes","5 - Once a month",0,150,"3 - Monthly",180,90,"No",8,"Male",23,NA,"3 - Somewhat like me","Yes"
0.6712813,60,"5 - Every day",300,4,7,5,"3 - Hardly interested","2 - Very little","3 - Quite able","2 - Very little","3 - Quite confident",6,5,7,5,4,6,6,"Yes",10,"4 - Several times a month","2","2 - Less than most","No","1 - Very safe","1 - Very good","3 - No",8,5,"Yes",5,"7 - Never","6 - Less often","No","Yes","Yes",NA,"Yes","Yes","Yes",7,"2 - Not very worried",9,"3 - Once a day","3 - Once a day",0,"6 - I have never smoked","1 - Every day",192.8,49.4,"2 - Weekly",173,58,"No",9,"Female",38,"Legally married","2 - Like me","Yes"
